departure_date,booking_date,cum_bookings,final_demand,naive_forecast
7/25/2012,7/25/2012,300,300,
7/25/2012,7/24/2012,255,300,301.0467244
7/25/2012,7/23/2012,233,300,300.0469288
7/25/2012,7/22/2012,227,300,313.3576311
7/25/2012,7/21/2012,223,300,328.1060616
7/25/2012,7/20/2012,220,300,344.1826559
7/25/2012,7/19/2012,212,300,353.8591006
7/25/2012,7/18/2012,200,300,358.3975195
7/25/2012,7/17/2012,184,300,358.3975195
7/25/2012,7/16/2012,158,300,358.3975195
7/25/2012,7/15/2012,143,300,358.3975195
7/25/2012,7/14/2012,134,300,358.3975195
7/25/2012,7/13/2012,132,300,358.3975195
7/25/2012,7/12/2012,125,300,358.3975195
7/25/2012,7/11/2012,118,300,358.3975195
7/25/2012,7/10/2012,110,300,358.3975195
7/25/2012,7/9/2012,98,300,358.3975195
7/25/2012,7/8/2012,89,300,358.3975195
7/25/2012,7/7/2012,89,300,358.3975195
7/25/2012,7/6/2012,89,300,358.3975195
7/25/2012,7/5/2012,72,300,358.3975195
7/25/2012,7/4/2012,69,300,358.3975195
7/25/2012,7/3/2012,68,300,358.3975195
7/25/2012,7/2/2012,66,300,358.3975195
7/25/2012,7/1/2012,65,300,358.3975195
7/25/2012,6/30/2012,63,300,358.3975195
7/25/2012,6/29/2012,61,300,358.3975195
7/25/2012,6/28/2012,59,300,358.3975195
7/25/2012,6/27/2012,57,300,358.3975195
7/26/2012,7/26/2012,226,226,
7/26/2012,7/25/2012,181,226,213.6841456
7/26/2012,7/24/2012,169,226,217.630605
7/26/2012,7/23/2012,147,226,202.9232237
7/26/2012,7/22/2012,142,226,208.9285235
7/26/2012,7/21/2012,140,226,219.0253265
7/26/2012,7/20/2012,139,226,232.0113914
7/26/2012,7/19/2012,130,226,232.9583877
7/26/2012,7/18/2012,123,226,232.9583877
7/26/2012,7/17/2012,120,226,232.9583877
7/26/2012,7/16/2012,110,226,232.9583877
7/26/2012,7/15/2012,103,226,232.9583877
7/26/2012,7/14/2012,97,226,232.9583877
7/26/2012,7/13/2012,97,226,232.9583877
7/26/2012,7/12/2012,89,226,232.9583877
7/26/2012,7/11/2012,84,226,232.9583877
7/26/2012,7/10/2012,75,226,232.9583877
7/26/2012,7/9/2012,65,226,232.9583877
7/26/2012,7/8/2012,61,226,232.9583877
7/26/2012,7/7/2012,61,226,232.9583877
7/26/2012,7/6/2012,60,226,232.9583877
7/26/2012,7/5/2012,53,226,232.9583877
7/26/2012,7/4/2012,51,226,232.9583877
7/26/2012,7/3/2012,51,226,232.9583877
7/26/2012,7/2/2012,51,226,232.9583877
7/26/2012,7/1/2012,51,226,232.9583877
7/26/2012,6/30/2012,45,226,232.9583877
7/26/2012,6/29/2012,43,226,232.9583877
7/26/2012,6/28/2012,43,226,232.9583877
7/27/2012,7/27/2012,150,150,
7/27/2012,7/26/2012,114,150,134.5855944
7/27/2012,7/25/2012,99,150,127.4877509
7/27/2012,7/24/2012,81,150,111.8148375
7/27/2012,7/23/2012,73,150,107.406917
7/27/2012,7/22/2012,67,150,104.8192634
7/27/2012,7/21/2012,64,150,106.8253889
7/27/2012,7/20/2012,64,150,114.6872062
7/27/2012,7/19/2012,57,150,114.6872062
7/27/2012,7/18/2012,57,150,114.6872062
7/27/2012,7/17/2012,55,150,114.6872062
7/27/2012,7/16/2012,55,150,114.6872062
7/27/2012,7/15/2012,54,150,114.6872062
7/27/2012,7/14/2012,53,150,114.6872062
7/27/2012,7/13/2012,53,150,114.6872062
7/27/2012,7/12/2012,50,150,114.6872062
7/27/2012,7/11/2012,47,150,114.6872062
7/27/2012,7/10/2012,45,150,114.6872062
7/27/2012,7/9/2012,36,150,114.6872062
7/27/2012,7/8/2012,35,150,114.6872062
7/27/2012,7/7/2012,35,150,114.6872062
7/27/2012,7/6/2012,35,150,114.6872062
7/27/2012,7/5/2012,32,150,114.6872062
7/27/2012,7/4/2012,32,150,114.6872062
7/27/2012,7/3/2012,32,150,114.6872062
7/27/2012,7/2/2012,31,150,114.6872062
7/27/2012,7/1/2012,31,150,114.6872062
7/27/2012,6/30/2012,27,150,114.6872062
7/27/2012,6/29/2012,26,150,114.6872062
7/28/2012,7/28/2012,155,155,
7/28/2012,7/27/2012,118,155,139.307896
7/28/2012,7/26/2012,106,155,136.5020363
7/28/2012,7/25/2012,93,155,128.3799987
7/28/2012,7/24/2012,82,155,120.6488657
7/28/2012,7/23/2012,71,155,111.0771299
7/28/2012,7/22/2012,69,155,115.1711224
7/28/2012,7/21/2012,66,155,118.2711814
7/28/2012,7/20/2012,66,155,118.2711814
7/28/2012,7/19/2012,55,155,118.2711814
7/28/2012,7/18/2012,53,155,118.2711814
7/28/2012,7/17/2012,49,155,118.2711814
7/28/2012,7/16/2012,49,155,118.2711814
7/28/2012,7/15/2012,49,155,118.2711814
7/28/2012,7/14/2012,48,155,118.2711814
7/28/2012,7/13/2012,48,155,118.2711814
7/28/2012,7/12/2012,44,155,118.2711814
7/28/2012,7/11/2012,44,155,118.2711814
7/28/2012,7/10/2012,43,155,118.2711814
7/28/2012,7/9/2012,37,155,118.2711814
7/28/2012,7/8/2012,36,155,118.2711814
7/28/2012,7/7/2012,34,155,118.2711814
7/28/2012,7/6/2012,34,155,118.2711814
7/28/2012,7/5/2012,33,155,118.2711814
7/28/2012,7/4/2012,33,155,118.2711814
7/28/2012,7/3/2012,33,155,118.2711814
7/28/2012,7/2/2012,31,155,118.2711814
7/28/2012,7/1/2012,31,155,118.2711814
7/28/2012,6/30/2012,27,155,118.2711814
7/29/2012,7/29/2012,161,161,
7/29/2012,7/28/2012,129,161,152.2942253
7/29/2012,7/27/2012,123,161,158.3938723
7/29/2012,7/26/2012,111,161,153.2277403
7/29/2012,7/25/2012,104,161,153.0180736
7/29/2012,7/24/2012,93,161,145.4953955
7/29/2012,7/23/2012,77,161,128.524296
7/29/2012,7/22/2012,72,161,129.023107
7/29/2012,7/21/2012,68,161,129.023107
7/29/2012,7/20/2012,65,161,129.023107
7/29/2012,7/19/2012,60,161,129.023107
7/29/2012,7/18/2012,58,161,129.023107
7/29/2012,7/17/2012,58,161,129.023107
7/29/2012,7/16/2012,56,161,129.023107
7/29/2012,7/15/2012,54,161,129.023107
7/29/2012,7/14/2012,54,161,129.023107
7/29/2012,7/13/2012,53,161,129.023107
7/29/2012,7/12/2012,46,161,129.023107
7/29/2012,7/11/2012,43,161,129.023107
7/29/2012,7/10/2012,42,161,129.023107
7/29/2012,7/9/2012,36,161,129.023107
7/29/2012,7/8/2012,35,161,129.023107
7/29/2012,7/7/2012,35,161,129.023107
7/29/2012,7/6/2012,35,161,129.023107
7/29/2012,7/5/2012,33,161,129.023107
7/29/2012,7/4/2012,29,161,129.023107
7/29/2012,7/3/2012,29,161,129.023107
7/29/2012,7/2/2012,28,161,129.023107
7/29/2012,7/1/2012,28,161,129.023107
7/30/2012,7/30/2012,318,318,
7/30/2012,7/29/2012,278,318,328.1999584
7/30/2012,7/28/2012,260,318,334.8163155
7/30/2012,7/27/2012,253,318,349.2488136
7/30/2012,7/26/2012,234,318,344.2906655
7/30/2012,7/25/2012,224,318,350.4405224
7/30/2012,7/24/2012,209,318,348.8516605
7/30/2012,7/23/2012,176,318,315.3898171
7/30/2012,7/22/2012,161,318,315.3898171
7/30/2012,7/21/2012,153,318,315.3898171
7/30/2012,7/20/2012,150,318,315.3898171
7/30/2012,7/19/2012,133,318,315.3898171
7/30/2012,7/18/2012,118,318,315.3898171
7/30/2012,7/17/2012,116,318,315.3898171
7/30/2012,7/16/2012,108,318,315.3898171
7/30/2012,7/15/2012,92,318,315.3898171
7/30/2012,7/14/2012,90,318,315.3898171
7/30/2012,7/13/2012,89,318,315.3898171
7/30/2012,7/12/2012,72,318,315.3898171
7/30/2012,7/11/2012,65,318,315.3898171
7/30/2012,7/10/2012,61,318,315.3898171
7/30/2012,7/9/2012,53,318,315.3898171
7/30/2012,7/8/2012,49,318,315.3898171
7/30/2012,7/7/2012,49,318,315.3898171
7/30/2012,7/6/2012,49,318,315.3898171
7/30/2012,7/5/2012,49,318,315.3898171
7/30/2012,7/4/2012,45,318,315.3898171
7/30/2012,7/3/2012,45,318,315.3898171
7/30/2012,7/2/2012,43,318,315.3898171
7/31/2012,7/31/2012,345,345,
7/31/2012,7/30/2012,306,345,361.2560693
7/31/2012,7/29/2012,280,345,360.5714166
7/31/2012,7/28/2012,271,345,374.0965552
7/31/2012,7/27/2012,261,345,384.0165115
7/31/2012,7/26/2012,246,345,384.858788
7/31/2012,7/25/2012,235,345,392.2494747
7/31/2012,7/24/2012,219,345,392.4452838
7/31/2012,7/23/2012,181,345,392.4452838
7/31/2012,7/22/2012,168,345,392.4452838
7/31/2012,7/21/2012,162,345,392.4452838
7/31/2012,7/20/2012,159,345,392.4452838
7/31/2012,7/19/2012,141,345,392.4452838
7/31/2012,7/18/2012,128,345,392.4452838
7/31/2012,7/17/2012,123,345,392.4452838
7/31/2012,7/16/2012,114,345,392.4452838
7/31/2012,7/15/2012,102,345,392.4452838
7/31/2012,7/14/2012,100,345,392.4452838
7/31/2012,7/13/2012,99,345,392.4452838
7/31/2012,7/12/2012,82,345,392.4452838
7/31/2012,7/11/2012,76,345,392.4452838
7/31/2012,7/10/2012,70,345,392.4452838
7/31/2012,7/9/2012,61,345,392.4452838
7/31/2012,7/8/2012,57,345,392.4452838
7/31/2012,7/7/2012,57,345,392.4452838
7/31/2012,7/6/2012,57,345,392.4452838
7/31/2012,7/5/2012,57,345,392.4452838
7/31/2012,7/4/2012,54,345,392.4452838
7/31/2012,7/3/2012,54,345,392.4452838
